run_name,run_dir,method,env,seed,final_score
sb3_ppo_atari_seed2_1774706150,results/sb3_ppo_atari_seed2_1774706150,sb3_ppo,atari,2,0.0
ppo_atari_seed1_1774701904,results/ppo_atari_seed1_1774701904,ppo,atari,1,7.0
ddqn_minatar_seed1_1774678021,results/ddqn_minatar_seed1_1774678021,ddqn,minatar,1,6.2
ppo_minatar_seed2_1774684304,results/ppo_minatar_seed2_1774684304,ppo,minatar,2,5.5
ppo_minatar_seed0_1774677701,results/ppo_minatar_seed0_1774677701,ppo,minatar,0,0.6
sb3_dqn_minatar_seed1_1774679582,results/sb3_dqn_minatar_seed1_1774679582,sb3_dqn,minatar,1,5.9
ga_minatar_seed2_1774688807,results/ga_minatar_seed2_1774688807,ga,minatar,2,0.6
sb3_ppo_atari_seed1_1774705211,results/sb3_ppo_atari_seed1_1774705211,sb3_ppo,atari,1,8.666666666666666
nes_minatar_seed3_1774688247,results/nes_minatar_seed3_1774688247,nes,minatar,3,1.5
ga_minatar_seed4_1774689059,results/ga_minatar_seed4_1774689059,ga,minatar,4,0.4
sb3_dqn_atari_seed0_1774697026,results/sb3_dqn_atari_seed0_1774697026,sb3_dqn,atari,0,6.0
ga_atari_seed2_1774745988,results/ga_atari_seed2_1774745988,ga,atari,2,0.0
ppo_minatar_seed4_1774684974,results/ppo_minatar_seed4_1774684974,ppo,minatar,4,5.1
ddqn_atari_seed1_1774695182,results/ddqn_atari_seed1_1774695182,ddqn,atari,1,13.333333333333334
ppo_minatar_seed3_1774684642,results/ppo_minatar_seed3_1774684642,ppo,minatar,3,5.5
ddqn_atari_seed2_1774696031,results/ddqn_atari_seed2_1774696031,ddqn,atari,2,17.0
ga_atari_seed0_1774744864,results/ga_atari_seed0_1774744864,ga,atari,0,0.0
nes_atari_seed0_1774741328,results/nes_atari_seed0_1774741328,nes,atari,0,0.0
nes_atari_seed1_1774743303,results/nes_atari_seed1_1774743303,nes,atari,1,0.0
nes_minatar_seed1_1774687987,results/nes_minatar_seed1_1774687987,nes,minatar,1,0.6
sb3_ppo_minatar_seed1_1774685778,results/sb3_ppo_minatar_seed1_1774685778,sb3_ppo,minatar,1,6.4
sb3_ppo_minatar_seed4_1774687142,results/sb3_ppo_minatar_seed4_1774687142,sb3_ppo,minatar,4,5.3
nes_atari_seed2_1774743718,results/nes_atari_seed2_1774743718,nes,atari,2,0.0
ddqn_minatar_seed0_1774677743,results/ddqn_minatar_seed0_1774677743,ddqn,minatar,0,4.6
sb3_dqn_minatar_seed3_1774680405,results/sb3_dqn_minatar_seed3_1774680405,sb3_dqn,minatar,3,6.5
nes_minatar_seed4_1774688397,results/nes_minatar_seed4_1774688397,nes,minatar,4,1.2
ppo_minatar_seed0_1774683596,results/ppo_minatar_seed0_1774683596,ppo,minatar,0,4.4
ddqn_minatar_seed3_1774678592,results/ddqn_minatar_seed3_1774678592,ddqn,minatar,3,7.0
ppo_atari_seed0_1774700931,results/ppo_atari_seed0_1774700931,ppo,atari,0,11.0
