env,method,n,mean,std,median,min,max
atari,ddqn,3,18.333333333333332,5.783117190965824,17.0,13.333333333333334,24.666666666666668
atari,sb3_dqn,3,8.222222222222221,2.3412563895228304,8.0,6.0,10.666666666666666
atari,ppo,3,6.0,5.5677643628300215,7.0,0.0,11.0
atari,sb3_ppo,3,5.0,4.48454134902457,6.333333333333333,0.0,8.666666666666666
atari,ga,3,0.0,0.0,0.0,0.0,0.0
atari,nes,3,0.0,0.0,0.0,0.0,0.0
minatar,sb3_dqn,5,6.36,0.7334848328356898,6.5,5.4,7.3
minatar,sb3_ppo,5,5.04,0.9449867723941962,5.0,3.8,6.4
minatar,ddqn,7,3.971428571428572,2.5044721903788334,4.4,0.6,7.0
minatar,ppo,7,3.8142857142857145,2.2266780723973634,5.0,0.6,5.5
minatar,nes,7,0.8999999999999998,0.6952217871538069,1.2,0.0,1.6
minatar,ga,5,0.32,0.303315017762062,0.4,0.0,0.6
