global_step,episode,episode_return,episode_length,epsilon,loss
131,1,0.0,131,0.9987555,nan
351,2,2.0,220,0.9966655,nan
528,3,1.0,177,0.994984,nan
706,4,1.0,178,0.993293,nan
958,5,3.0,252,0.990899,nan
1177,6,2.0,219,0.9888185,nan
1307,7,0.0,130,0.9875835,nan
1639,8,5.0,332,0.9844295,nan
1779,9,0.0,140,0.9830995,nan
1907,10,0.0,128,0.9818835,nan
2080,11,1.0,173,0.98024,nan
2257,12,1.0,177,0.9785585,nan
2440,13,1.0,183,0.97682,nan
2812,14,5.0,372,0.973286,nan
2977,15,1.0,165,0.9717185,nan
3222,16,3.0,245,0.969391,nan
3365,17,0.0,143,0.9680325,nan
3542,18,1.0,177,0.966351,nan
3781,19,2.0,239,0.9640805,nan
3955,20,1.0,174,0.9624275,nan
4085,21,0.0,130,0.9611925,nan
4396,22,4.0,311,0.958238,nan
4525,23,0.0,129,0.9570125,nan
4711,24,1.0,186,0.9552455,nan
4887,25,1.0,176,0.9535735,nan
5090,26,2.0,203,0.951645,nan
5234,27,0.0,144,0.950277,nan
5427,28,1.0,193,0.9484435,nan
5634,29,2.0,207,0.946477,nan
5801,30,1.0,167,0.9448905,nan
6034,31,3.0,233,0.942677,nan
6179,32,0.0,145,0.9412995,nan
6353,33,1.0,174,0.9396465,nan
6648,34,4.0,295,0.936844,nan
6811,35,1.0,163,0.9352955000000001,nan
6949,36,0.0,138,0.9339845,nan
7131,37,1.0,182,0.9322555,nan
7349,38,2.0,218,0.9301845,nan
7559,39,2.0,210,0.9281895,nan
7686,40,0.0,127,0.926983,nan
7862,41,1.0,176,0.925311,nan
8083,42,2.0,221,0.9232115,nan
8336,43,3.0,253,0.920808,nan
8605,44,3.0,269,0.9182525,nan
8797,45,2.0,192,0.9164285,nan
9035,46,3.0,238,0.9141675,nan
9292,47,3.0,257,0.911726,nan
9416,48,0.0,124,0.910548,nan
9549,49,0.0,133,0.9092845,nan
9786,50,2.0,237,0.907033,nan
