global_step,episode,episode_return,episode_length,epsilon,loss
16,1,1.0,16,0.999848,nan
22,2,0.0,6,0.999791,nan
60,3,3.0,38,0.99943,nan
76,4,1.0,16,0.999278,nan
82,5,0.0,6,0.999221,nan
98,6,1.0,16,0.999069,nan
114,7,1.0,16,0.998917,nan
130,8,1.0,16,0.998765,nan
136,9,0.0,6,0.998708,nan
142,10,0.0,6,0.998651,nan
148,11,0.0,6,0.998594,nan
154,12,0.0,6,0.998537,nan
170,13,1.0,16,0.998385,nan
176,14,0.0,6,0.998328,nan
182,15,0.0,6,0.998271,nan
198,16,1.0,16,0.998119,nan
214,17,1.0,16,0.997967,nan
220,18,0.0,6,0.99791,nan
226,19,0.0,6,0.997853,nan
232,20,0.0,6,0.997796,nan
258,21,2.0,26,0.997549,nan
274,22,1.0,16,0.997397,nan
280,23,0.0,6,0.99734,nan
286,24,0.0,6,0.997283,nan
312,25,2.0,26,0.997036,nan
328,26,1.0,16,0.996884,nan
334,27,0.0,6,0.996827,nan
340,28,0.0,6,0.99677,nan
346,29,0.0,6,0.996713,nan
352,30,0.0,6,0.996656,nan
368,31,1.0,16,0.996504,nan
374,32,0.0,6,0.996447,nan
380,33,0.0,6,0.99639,nan
396,34,1.0,16,0.996238,nan
402,35,0.0,6,0.996181,nan
408,36,0.0,6,0.996124,nan
414,37,0.0,6,0.996067,nan
420,38,0.0,6,0.99601,nan
426,39,0.0,6,0.995953,nan
442,40,1.0,16,0.995801,nan
458,41,1.0,16,0.995649,nan
464,42,0.0,6,0.995592,nan
470,43,0.0,6,0.995535,nan
476,44,0.0,6,0.995478,nan
482,45,0.0,6,0.995421,nan
498,46,1.0,16,0.995269,nan
504,47,0.0,6,0.995212,nan
510,48,0.0,6,0.995155,nan
516,49,0.0,6,0.995098,nan
522,50,0.0,6,0.995041,nan
538,51,1.0,16,0.994889,nan
554,52,1.0,16,0.994737,nan
560,53,0.0,6,0.99468,nan
566,54,0.0,6,0.994623,nan
572,55,0.0,6,0.994566,nan
578,56,0.0,6,0.994509,nan
584,57,0.0,6,0.994452,nan
590,58,0.0,6,0.994395,nan
596,59,0.0,6,0.994338,nan
602,60,0.0,6,0.994281,nan
608,61,0.0,6,0.994224,nan
614,62,0.0,6,0.994167,nan
620,63,0.0,6,0.99411,nan
626,64,0.0,6,0.994053,nan
642,65,1.0,16,0.993901,nan
670,66,2.0,28,0.993635,nan
676,67,0.0,6,0.993578,nan
692,68,1.0,16,0.993426,nan
698,69,0.0,6,0.993369,nan
704,70,0.0,6,0.993312,nan
710,71,0.0,6,0.993255,nan
726,72,1.0,16,0.993103,nan
732,73,0.0,6,0.993046,nan
738,74,0.0,6,0.992989,nan
744,75,0.0,6,0.992932,nan
760,76,1.0,16,0.99278,nan
776,77,1.0,16,0.992628,nan
792,78,1.0,16,0.992476,nan
798,79,0.0,6,0.992419,nan
814,80,1.0,16,0.992267,nan
820,81,0.0,6,0.99221,nan
826,82,0.0,6,0.992153,nan
832,83,0.0,6,0.992096,nan
838,84,0.0,6,0.992039,nan
844,85,0.0,6,0.991982,nan
860,86,1.0,16,0.99183,nan
876,87,1.0,16,0.991678,nan
892,88,1.0,16,0.991526,nan
898,89,0.0,6,0.991469,nan
904,90,0.0,6,0.991412,nan
910,91,0.0,6,0.991355,nan
916,92,0.0,6,0.991298,nan
922,93,0.0,6,0.991241,nan
948,94,2.0,26,0.990994,nan
954,95,0.0,6,0.990937,nan
970,96,1.0,16,0.990785,nan
976,97,0.0,6,0.990728,nan
982,98,0.0,6,0.990671,nan
988,99,0.0,6,0.990614,nan
994,100,0.0,6,0.990557,nan
1000,101,0.0,6,0.9905,nan
1006,102,0.0,6,0.990443,nan
1012,103,0.0,6,0.990386,nan
1028,104,1.0,16,0.990234,nan
1044,105,1.0,16,0.990082,nan
1050,106,0.0,6,0.990025,nan
1056,107,0.0,6,0.989968,nan
1072,108,1.0,16,0.989816,nan
1078,109,0.0,6,0.989759,nan
1094,110,1.0,16,0.989607,nan
1100,111,0.0,6,0.98955,nan
1106,112,0.0,6,0.989493,nan
1112,113,0.0,6,0.989436,nan
1118,114,0.0,6,0.989379,nan
1124,115,0.0,6,0.989322,nan
1130,116,0.0,6,0.989265,nan
1136,117,0.0,6,0.989208,nan
1142,118,0.0,6,0.989151,nan
1158,119,1.0,16,0.988999,nan
1164,120,0.0,6,0.988942,nan
1180,121,1.0,16,0.98879,nan
1186,122,0.0,6,0.988733,nan
1202,123,1.0,16,0.988581,nan
1208,124,0.0,6,0.988524,nan
1214,125,0.0,6,0.988467,nan
1220,126,0.0,6,0.98841,nan
1226,127,0.0,6,0.988353,nan
1242,128,1.0,16,0.988201,nan
1270,129,2.0,28,0.987935,nan
1276,130,0.0,6,0.987878,nan
