generation,mean_population_return,std_population_return,best_population_return,global_interactions_est
1,1.5,1.3954814672470093,5.0,20
2,0.8999999761581421,0.7880688905715942,3.0,40
3,1.2000000476837158,0.8335087299346924,3.0,60
4,0.8999999761581421,1.0711528062820435,3.0,80
5,0.800000011920929,0.9514532089233398,3.0,100
6,1.0499999523162842,1.1909748315811157,3.0,120
7,0.800000011920929,1.1050124168395996,3.0,140
8,1.600000023841858,1.3138933181762695,4.0,160
9,1.25,1.069923758506775,4.0,180
10,1.7999999523162842,1.5423836708068848,5.0,200
11,1.399999976158142,1.4290224313735962,4.0,220
12,0.6499999761581421,0.9880868792533875,3.0,240
13,1.350000023841858,1.268027901649475,4.0,260
14,0.800000011920929,0.9514532089233398,3.0,280
15,2.0,1.4142135381698608,5.0,300
16,1.600000023841858,1.6026294231414795,6.0,320
17,1.4500000476837158,1.4680814743041992,5.0,340
18,1.399999976158142,1.3533583879470825,3.0,360
19,1.350000023841858,1.598518967628479,7.0,380
20,1.7000000476837158,2.079979658126831,9.0,400
