generation,mean_population_return,std_population_return,best_population_return,global_interactions_est
1,0.6499999761581421,0.8750939965248108,2.0,20
2,1.0499999523162842,0.9986832737922668,3.0,40
3,1.2000000476837158,1.5761377811431885,6.0,60
4,0.8500000238418579,1.039989948272705,3.0,80
5,1.0499999523162842,1.2763022184371948,4.0,100
6,1.25,1.65035879611969,5.0,120
7,1.649999976158142,2.1095023155212402,9.0,140
8,1.7000000476837158,2.028740882873535,6.0,160
9,1.0499999523162842,1.234376072883606,3.0,180
10,1.600000023841858,2.1373865604400635,8.0,200
11,1.850000023841858,1.598518967628479,6.0,220
12,1.899999976158142,2.447340250015259,9.0,240
13,2.25,2.291287899017334,9.0,260
14,0.75,1.069923758506775,3.0,280
15,1.9500000476837158,2.645254135131836,9.0,300
16,2.049999952316284,1.6375527381896973,5.0,320
17,2.200000047683716,2.783409595489502,9.0,340
18,1.4500000476837158,2.4165003299713135,7.0,360
19,1.5499999523162842,2.1392323970794678,7.0,380
20,1.4500000476837158,1.820208191871643,5.0,400
