generation,mean_population_return,std_population_return,best_population_return,global_interactions_est
1,0.4333333373069763,0.8583598732948303,3.0,30
2,0.2666666805744171,0.520830512046814,2.0,60
3,0.4000000059604645,0.8136761784553528,3.0,90
4,0.4000000059604645,0.8136761784553528,3.0,120
5,0.5,0.7310832738876343,2.0,150
6,0.36666667461395264,0.6149478554725647,2.0,180
7,0.3333333432674408,0.6064783334732056,2.0,210
8,0.3333333432674408,0.5466721653938293,2.0,240
9,0.4000000059604645,0.6214554905891418,2.0,270
10,0.5333333611488342,0.8193073272705078,4.0,300
11,0.4000000059604645,0.4982728958129883,1.0,330
12,0.4000000059604645,0.5632418394088745,2.0,360
13,0.5333333611488342,0.730296790599823,3.0,390
14,0.30000001192092896,0.4660916030406952,1.0,420
15,0.46666666865348816,0.6288102865219116,2.0,450
16,0.5666666626930237,0.626062273979187,2.0,480
17,0.6000000238418579,0.8136761784553528,3.0,510
18,0.8333333134651184,0.7466400265693665,3.0,540
19,0.8333333134651184,0.8742814064025879,3.0,570
20,0.6000000238418579,0.7239736318588257,3.0,600
21,0.5333333611488342,0.5074162483215332,1.0,630
22,0.6666666865348816,0.4794633090496063,1.0,660
23,0.6000000238418579,0.5632417798042297,2.0,690
24,0.4000000059604645,0.7701320648193359,3.0,720
25,0.46666666865348816,0.5074162483215332,1.0,750
26,0.699999988079071,0.5959634184837341,2.0,780
27,0.6666666865348816,0.7111589908599854,2.0,810
28,0.5666666626930237,0.626062273979187,2.0,840
29,0.699999988079071,0.8769067525863647,3.0,870
30,0.8333333134651184,0.7466400265693665,2.0,900
31,0.5333333611488342,0.5713465213775635,2.0,930
32,0.5666666626930237,0.626062273979187,2.0,960
33,0.6666666865348816,0.8022955656051636,3.0,990
34,0.6000000238418579,0.6746646165847778,2.0,1020
35,0.6666666865348816,0.8840866088867188,4.0,1050
36,0.6000000238418579,0.6214554309844971,2.0,1080
37,0.6666666865348816,0.6064783334732056,2.0,1110
38,0.5,0.6297235488891602,2.0,1140
39,0.6666666865348816,0.7580980658531189,3.0,1170
40,0.6333333253860474,0.5560533404350281,2.0,1200
41,0.4000000059604645,0.6746646761894226,3.0,1230
42,0.4333333373069763,0.5040069818496704,1.0,1260
43,0.6000000238418579,0.6214554309844971,2.0,1290
44,0.6000000238418579,0.5632418394088745,2.0,1320
45,0.5666666626930237,0.626062273979187,2.0,1350
46,0.46666666865348816,0.5074162483215332,1.0,1380
47,0.5333333611488342,0.5713464617729187,2.0,1410
48,0.5666666626930237,0.5683207511901855,2.0,1440
