global_step,update,mean_train_return,policy_loss,value_loss,entropy,total_loss
2048,1,0.8181818181818182,0.00028959615156054497,0.043679380731191486,1.3837853074073792,0.008291433565318584
4096,2,1.35,-0.00023356016026809812,0.053647242253646255,1.3833252899348736,0.012756808049743995
6144,3,1.5,-0.0029357420571614057,0.0664983595488593,1.3742157593369484,0.016571279731579125
8192,4,1.6,-0.0010521060321480036,0.06651192100252956,1.3456503115594387,0.018747351481579244
10240,5,1.35,-0.002697525706025772,0.049981451127678156,1.3369958624243736,0.008923241752199829
12288,6,1.0,-0.0009743385598994792,0.05167686124332249,1.3364202044904232,0.01149989033001475
14336,7,1.5,-0.003945496631786227,0.06374313333071768,1.3036822341382504,0.014889247569954023
16384,8,1.45,-0.0008729620894882828,0.04924088763073087,1.2430708855390549,0.01131677333614789
18432,9,1.4,-0.00032322268816642463,0.06138559919781983,1.252711821347475,0.01784245893941261
20480,10,1.45,-0.005712852085707709,0.04829803993925452,1.2291089072823524,0.006145079940324649
22528,11,0.65,-0.0027882892172783613,0.025252195890061557,1.2160531356930733,-0.002322722226381302
24576,12,0.4,-0.004824866133276373,0.02058136777486652,1.283789735287428,-0.007372079126071185
26624,13,0.35,-0.0022749639756511897,0.019896290847100317,1.3283856213092804,-0.0056106744450517
28672,14,0.75,-0.0006414984818547964,0.043340708944015205,1.3348572440445423,0.0076802841504104435
30720,15,1.2,-0.002721290191402659,0.04231328115565702,1.2980558909475803,0.005454791942611337
32768,16,1.1,-0.0039450064359698445,0.03271869628224522,1.3132012635469437,-0.0007176703365985304
34816,17,1.15,-0.0018722393433563411,0.04516802710713819,1.3269393630325794,0.0074423814949113876
36864,18,1.45,-0.001286094484385103,0.0423540769261308,1.3438305966556072,0.006452638132032007
38912,19,1.35,-0.004198453854769468,0.030086431826930493,1.3340286277234554,-0.0024955242115538567
40960,20,1.25,-0.0025024434726219624,0.03518550418084487,1.3207534775137901,0.0018827735038939863
43008,21,1.5,-0.001434889534721151,0.04105406074086204,1.281877163797617,0.006273369421251118
45056,22,1.85,-0.002583841676823795,0.06034629087662324,1.3081303536891937,0.014508000400383025
47104,23,2.45,-0.0037197687197476625,0.08023892040364444,1.3094447031617165,0.023305244598304853
49152,24,2.4,-0.002096354335662909,0.0368998835911043,1.249103631824255,0.0038625519955530763
51200,25,2.25,-0.002749129547737539,0.025050087657291442,1.2784562073647976,-0.00300864755990915
53248,26,1.8,-0.0003392352955415845,0.03154412953881547,1.3026085421442986,0.0024067441991064698
55296,27,1.65,-0.003389703488210216,0.027674209559336305,1.26576279848814,-0.002210225793533027
57344,28,1.55,-0.001511252747150138,0.02900215785484761,1.287821814417839,0.00011160809663124382
59392,29,2.55,-0.0011363380181137472,0.05964895780198276,1.3002436347305775,0.015685704594943672
61440,30,2.05,-0.004258774395566434,0.024999383313115686,1.3043257035315037,-0.0048023395938798785
63488,31,1.75,-0.002221879956778139,0.038401504745706916,1.3148514330387115,0.0038303585024550557
65536,32,2.45,-0.005647353478707373,0.06464591005351394,1.3506522811949253,0.013169079291401431
67584,33,2.9,-0.0018944187031593174,0.03937151259742677,1.3680153004825115,0.0041111838654614985
69632,34,2.35,-0.00660832560970448,0.04690341977402568,1.3630444779992104,0.003212939976947382
71680,35,1.25,-0.0026776872109621763,0.01898364321095869,1.3385962955653667,-0.0065718280675355345
73728,36,1.35,-0.001371634571114555,0.023869872267823666,1.3496952019631863,-0.0029336493753362447
75776,37,1.6,-0.0019005739595741034,0.03153240081155673,1.3401567414402962,0.00046406048932112753
77824,38,1.7,-0.0023626795154996216,0.03043780045118183,1.3521352745592594,-0.0006651320145465434
79872,39,1.8,-0.006729400192853063,0.02811495924834162,1.3645488247275352,-0.006317408726317808
81920,40,1.85,-0.007264356449013576,0.026525194407440722,1.3347089812159538,-0.0073488494381308556
83968,41,1.95,-0.003975628176704049,0.023132772010285407,1.3236544355750084,-0.005645785480737686
86016,42,2.35,-0.005466889881063253,0.03132717387052253,1.3158860467374325,-0.0029621636494994164
88064,43,1.6,-0.005662420429871418,0.020741679705679417,1.3246605917811394,-0.008538185997167602
90112,44,1.45,-0.006958522950299084,0.036361372272949666,1.3087785206735134,-0.0018656219181139022
92160,45,2.0,-0.00872149138012901,0.033003799442667514,1.2933740504086018,-0.005153331527253613
94208,46,2.25,-0.0057924261200241745,0.025312748039141297,1.3006034903228283,-0.006142087222542614
96256,47,2.8,-0.007477428764104843,0.02950107352808118,1.2974630147218704,-0.005701521993614733
98304,48,2.4,-0.007548937137471512,0.039230737544130534,1.2733949050307274,-0.0006675176555290818
100352,49,2.0,-0.006997471820795909,0.046250258455984294,1.2553330771625042,0.0035743268381338567
102400,50,2.35,-0.008422475890256464,0.03602484246948734,1.2269983887672424,-0.002680038276594132
104448,51,2.5,-0.007349855382926762,0.029339868866372854,1.2260193787515163,-0.004940114245982841
106496,52,2.85,-0.012385584355797619,0.02834155928576365,1.2120319455862045,-0.010335123748518527
108544,53,3.65,-0.006992213879129849,0.03971074632136151,1.1470445394515991,0.0013927143590990454
