global_step,update,mean_train_return,policy_loss,value_loss,entropy,total_loss
2048,1,0.35,-0.0037410743243526667,0.1995909926481545,1.0948707424104214,0.08510571499937214
4096,2,0.25,-0.0016380582237616181,0.1950249164365232,1.082864385098219,0.08504575639381073
6144,3,0.6,-0.005931915336987004,0.2351498049683869,1.0728121250867844,0.10091486427700147
8192,4,0.25,-0.0019159078947268426,0.22246284782886505,1.0821768753230572,0.0984937475877814
10240,5,0.45,-0.006399756093742326,0.19993204064667225,1.0678684748709202,0.08288757989066653
12288,6,0.35,-0.003424295427976176,0.23970976239070296,1.0441953726112843,0.1059886311122682
14336,7,0.25,-0.004615603218553588,0.20981138898059726,1.0060428529977798,0.09022966338670813
16384,8,0.25,-0.0026865581749007106,0.23049280233681202,0.9766660295426846,0.10279318279935978
18432,9,0.85,-0.003902240889146924,0.28571857418864965,0.9389513954520226,0.12956753349862993
20480,10,0.8,-0.007345040052314289,0.3020386481657624,0.8766394499689341,0.13490789057686925
22528,11,0.65,-0.005763001390732825,0.3099241266027093,0.8216544408351183,0.14098251704126596
24576,12,0.9,-0.007237244601128623,0.34198202658444643,0.8296266458928585,0.15545750397723168
26624,13,0.95,-0.008580014517065138,0.3969423836097121,0.7552981730550528,0.1823381963185966
28672,14,0.95,-0.006186059181345627,0.3233679672703147,0.7340468056499958,0.148157455958426
30720,15,1.6,-0.005589659151155502,0.39281279779970646,0.6725458540022373,0.18409128161147237
32768,16,2.0,-0.004207224177662283,0.49544915091246367,0.6421219874173403,0.23709613201208413
34816,17,1.35,-0.005402070382842794,0.43482560105621815,0.6079297661781311,0.20593143347650766
36864,18,1.45,-0.004437396244611591,0.43602110631763935,0.5470112478360534,0.20810304419137537
38912,19,1.95,-0.003567982988897711,0.44730293843895197,0.47765651158988476,0.21530692116357386
40960,20,1.7,-0.0036367278662510216,0.40150905027985573,0.47190760634839535,0.19239872426260263
43008,21,2.0,-0.006266960466746241,0.4533925512805581,0.46769900992512703,0.21575232571922243
45056,22,1.8,-0.0027588538359850645,0.4314142381772399,0.41991289239376783,0.20874913409352303
47104,23,2.85,-0.005167376570170745,0.42231239285320044,0.4346736017614603,0.20164208207279444
49152,24,3.0,-0.0023784989025443792,0.3391512893140316,0.42820270638912916,0.16291511768940836
51200,25,3.55,-0.0023437613563146442,0.38950927928090096,0.3964815204963088,0.18844606063794345
53248,26,2.55,-0.0023604484740644693,0.3225189186632633,0.42822300642728806,0.15461678041901905
55296,27,3.0,-0.0010493856971152127,0.3354584528133273,0.4572430895641446,0.1621074111899361
57344,28,2.85,-0.002268871117848903,0.3493364220485091,0.43682505190372467,0.16803108877502382
59392,29,2.6,-0.002447686158120632,0.3128580083139241,0.4087838241830468,0.1498934798873961
61440,30,3.2,-0.0030634995200671256,0.34216867201030254,0.42546150740236044,0.16376622079405934
63488,31,3.05,0.00018999766325578094,0.28403405379503965,0.4018219355493784,0.1381888048199471
65536,32,2.85,-0.0020043776312377304,0.24578460399061441,0.40641695261001587,0.11682375711097848
67584,33,2.85,-0.0005670219543389976,0.32067390996962786,0.4094349453225732,0.15567558334441856
69632,34,2.3,-0.003647658508270979,0.3474967982620001,0.40079365763813257,0.16609280253760517
71680,35,3.3,-0.00012625640374608338,0.26294092182070017,0.42520324885845184,0.12709217096562497
73728,36,2.7,-0.0019794336112681776,0.2958266604691744,0.44591300655156374,0.1414747663657181
75776,37,3.5,-0.005163304682355374,0.35937368404120207,0.41620972380042076,0.17036144086159766
77824,38,2.75,-0.002251185243949294,0.38143125269562006,0.3999960217624903,0.18446448352187872
79872,39,3.2,-0.0007037285395199433,0.31831617932766676,0.36985168140381575,0.154755844239844
81920,40,3.6,-0.0009033379319589585,0.2440604898147285,0.40061134565621614,0.11712079495191574
83968,41,3.0,0.001851759327109903,0.2548031653277576,0.3870207704603672,0.12538313411641866
86016,42,3.0,0.00027420258265919983,0.24325059307739139,0.36170393507927656,0.11828245929791592
88064,43,3.6,-0.001248779590241611,0.17775850440375507,0.32084465492516756,0.08442202708101831
90112,44,3.15,-0.00042613805271685123,0.24886625399813056,0.3416490647941828,0.12059049955860246
92160,45,3.25,-0.0013291423965711147,0.24751055799424648,0.32223755959421396,0.11920376145280898
94208,46,2.75,-0.0005646274366881698,0.2479603118263185,0.32413819432258606,0.12017414785805158
96256,47,2.9,-0.0014677413564641029,0.34994700737297535,0.3602481000125408,0.16990328195970505
98304,48,2.7,-0.00232974901155103,0.3452330073341727,0.333247902803123,0.16695427452214062
100352,49,3.8,-0.0023811764549463987,0.257582216989249,0.3095862418413162,0.12331407042802311
102400,50,3.25,-0.004823087394470349,0.33471497520804405,0.2977279257029295,0.15955712227150798
104448,51,3.15,-0.001259248863789253,0.3166349083185196,0.29796934500336647,0.1540785115212202
106496,52,3.9,-0.0018658708431757987,0.2744409223087132,0.3147094901651144,0.1322074936615536
108544,53,3.35,-0.001854933681897819,0.28615688253194094,0.3221971057355404,0.1380015356844524
110592,54,3.7,0.0011427848367020488,0.2758596269413829,0.3358952673152089,0.1357136465376243
112640,55,4.1,-0.0021510873921215534,0.21152566466480494,0.35072040650993586,0.10010454041912453
114688,56,3.2,0.0008406052656937391,0.31081367935985327,0.3214097060263157,0.15303334839700256
116736,57,3.9,0.001350011705653742,0.27123347809538245,0.3005915475077927,0.1339608354610391
118784,58,3.8,-0.0020284075289964676,0.29088429315015674,0.2875004056841135,0.14053873450029641
120832,59,4.4,0.0010269766207784414,0.1953603820875287,0.2806713152676821,0.0959004552278202
122880,60,3.6,-0.0028431066020857543,0.28042614506557584,0.2538106506690383,0.13483186037046835
124928,61,4.1,-0.002040850929915905,0.25834624795243144,0.28261680249124765,0.12430610464070924
126976,62,4.95,-0.0014823176024947315,0.19407425518147647,0.2578145181760192,0.09297666626662249
129024,63,4.2,-0.0007296527619473636,0.2078381311148405,0.25911105889827013,0.10059830188401975
131072,64,3.7,0.00019097072072327137,0.38351613841950893,0.2508402415551245,0.1894406370120123
133120,65,4.0,-0.0018044328899122775,0.2330618347041309,0.2372306385077536,0.11235417827265337
135168,66,3.85,-0.0011439745139796287,0.22472388483583927,0.23488527070730925,0.10886911679699551
137216,67,5.05,-0.0015528781223110855,0.15271229855716228,0.26138985343277454,0.07218937310972251
139264,68,4.35,-0.0019345167675055563,0.3056772518903017,0.24199930438771844,0.14848411519778892
141312,69,3.65,0.001028076047077775,0.36726655904203653,0.24509208230301738,0.18221043271478266
143360,70,3.65,-0.0015018945559859276,0.333368644118309,0.2701314934529364,0.16248111220193096
145408,71,4.25,-0.0014963860448915511,0.30093820532783866,0.28442592080682516,0.1461284591932781
147456,72,4.25,-0.0012295318738324568,0.19345637247897685,0.29405154194682837,0.0925581386545673
149504,73,5.2,8.232341497205198e-05,0.18047772045247257,0.291767249815166,0.0874035116576124
151552,74,5.05,-0.0011493409401737154,0.22304827766492963,0.2817057454958558,0.10755774054996436
153600,75,4.2,-0.0011090271727880463,0.25067875860258937,0.2607532967813313,0.12162281847849954
155648,76,4.0,-0.0014329332043416798,0.24532841192558408,0.26840810058638453,0.11854719139955705
157696,77,4.8,-0.0009946735808625817,0.17365840123966336,0.3012320753186941,0.08282220726687228
159744,78,3.35,-0.0003949652600567788,0.3366690739057958,0.2868717419914901,0.16507085610646755
161792,79,5.0,-0.0010294815874658525,0.11511112004518509,0.28740428667515516,0.05365203592373291
163840,80,4.6,-0.001929930062033236,0.1295256712473929,0.2672464968636632,0.0601604402763769
165888,81,4.95,-0.00010879020555876195,0.13597331219352782,0.261883026920259,0.06525903631700203
167936,82,4.05,-0.0010819240123964846,0.25986272981390357,0.2584650847129524,0.12626479023310822
169984,83,4.35,-0.0015771834878250957,0.18434996693395078,0.27393776550889015,0.0878584214442526
172032,84,4.25,-0.0020196689292788506,0.22524037631228566,0.27473671548068523,0.1078531521052355
174080,85,4.25,0.0006601283675990999,0.22720209369435906,0.2454866347834468,0.11180631001479924
176128,86,4.7,-0.0012818672985304147,0.17713954113423824,0.27131177578121424,0.08457478644413641
178176,87,3.85,0.0020838312921114266,0.24494249979034066,0.28355543967336416,0.12171952791686635
180224,88,4.5,0.0009143990755546838,0.13668763358145952,0.2769045541062951,0.06648916920676129
182272,89,4.55,-0.0017589328635949641,0.22712706215679646,0.2542028627358377,0.1092625693854643
184320,90,4.15,-0.001406237221090123,0.18351618782617152,0.2662387755699456,0.08768946964119095
186368,91,4.45,-0.0007897817704360932,0.17155118333175778,0.26789986388757825,0.08230681152781472
188416,92,4.75,-0.0015280981315299869,0.11634839186444879,0.2722244895994663,0.05392385299637681
190464,93,3.9,-0.0031299675756599754,0.22919121570885181,0.2771039349026978,0.1086946008290397
192512,94,4.5,-0.0012233429297339171,0.17103116121143103,0.27012526988983154,0.08159098617034033
194560,95,4.5,0.0010299983550794423,0.20077574253082275,0.2735032611526549,0.09868283726973459
196608,96,4.6,-0.00025837047724053264,0.2139206756837666,0.2730474527925253,0.103971493372228
198656,97,3.75,-0.0017321212944807485,0.327193358913064,0.28449978679418564,0.1590195611352101
200000,98,4.15,-0.0008494853973388672,0.24030233174562454,0.27291513482729596,0.11657252884469926
