#{"t_start": 1774698399.128374, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,133,3.578524
3.0,281,3.995208
0.0,125,4.208496
0.0,136,4.408506
0.0,135,4.60535
2.0,213,4.932939
2.0,221,5.271932
2.0,203,5.561115
1.0,181,5.832102
2.0,228,6.177166
0.0,128,6.389966
0.0,128,6.594594
1.0,179,6.853223
0.0,134,7.061579
2.0,226,7.412046
2.0,201,7.704071
1.0,163,7.940531
3.0,236,8.305645
3.0,286,8.72366
1.0,156,8.948447
5.0,325,9.44622
1.0,178,9.707605
0.0,123,9.8934
1.0,205,10.195316
0.0,136,10.418425
1.0,175,10.666219
1.0,167,10.919899
3.0,247,11.278372
1.0,190,11.580981
2.0,202,11.868919
0.0,128,12.047855
3.0,262,12.410255
0.0,138,12.634208
2.0,212,13.008718
1.0,165,13.403499
2.0,202,13.860825
1.0,159,14.234111
0.0,128,14.541559
2.0,204,15.022597
1.0,179,15.442034
0.0,133,15.762806
1.0,183,16.017074
2.0,205,16.307331
1.0,165,16.56948
0.0,135,16.780838
0.0,129,16.973719
1.0,177,17.222161
6.0,425,17.811799
1.0,159,18.04361
2.0,231,18.358115
5.0,333,18.837294
0.0,130,19.014845
2.0,216,19.88574
2.0,210,20.596403
2.0,206,21.299326
1.0,177,21.909904
2.0,212,22.608026
0.0,137,23.069446
1.0,176,23.654825
0.0,133,24.104191
2.0,191,24.721456
2.0,208,25.414317
0.0,134,25.893629
0.0,138,26.57665
1.0,158,27.329403
2.0,216,28.399707
1.0,189,29.117196
0.0,133,29.569115
0.0,136,30.03005
3.0,229,30.793396
3.0,233,31.571516
2.0,216,32.280308
0.0,133,32.755532
4.0,287,33.708122
1.0,188,34.327864
2.0,215,35.038519
1.0,175,35.640947
1.0,160,36.157681
1.0,163,36.699182
3.0,233,37.480957
1.0,188,38.133236
1.0,163,38.6781
1.0,168,39.451586
0.0,130,40.095368
4.0,318,41.601653
2.0,203,42.316202
1.0,165,42.883231
0.0,148,43.379204
1.0,183,44.016891
0.0,132,44.474126
0.0,142,44.962538
0.0,144,45.440096
0.0,136,45.911478
1.0,164,46.456294
2.0,216,47.199394
2.0,209,47.887456
1.0,181,48.518728
3.0,250,49.370675
0.0,139,49.828298
1.0,171,50.420657
0.0,141,50.888601
0.0,133,51.358135
1.0,165,52.094324
1.0,176,52.903784
0.0,135,53.574698
1.0,209,54.600677
3.0,284,55.577294
2.0,213,56.31506
0.0,129,56.774657
0.0,153,57.289913
1.0,166,57.908412
0.0,132,58.369336
1.0,189,59.026959
4.0,284,60.000088
1.0,174,60.614468
2.0,205,61.323107
1.0,179,61.958948
2.0,212,62.697773
1.0,177,63.3007
1.0,162,63.880149
0.0,139,64.361353
1.0,170,65.246937
2.0,204,66.252811
0.0,133,66.955992
3.0,268,68.049981
4.0,286,69.050957
2.0,207,69.759127
2.0,199,70.449027
0.0,132,70.899944
0.0,159,71.465134
2.0,210,72.201936
3.0,259,73.08794
0.0,129,73.560156
1.0,160,74.093168
3.0,313,75.218092
1.0,172,75.831688
2.0,235,76.645842
1.0,181,77.297501
2.0,215,78.328296
0.0,138,79.014904
3.0,287,80.433597
1.0,203,81.157474
0.0,150,81.748175
2.0,200,82.475547
1.0,201,83.214754
2.0,213,83.953305
1.0,157,84.500483
3.0,255,85.400208
5.0,328,86.570975
0.0,168,87.1809
2.0,218,87.983973
0.0,126,88.454929
2.0,215,89.256384
1.0,189,89.93805
1.0,171,90.693655
3.0,264,91.956556
0.0,137,92.721099
3.0,270,93.854872
2.0,219,94.651866
1.0,174,95.252715
1.0,189,95.938874
0.0,154,96.517148
0.0,148,97.040333
1.0,180,97.691945
0.0,144,98.208777
4.0,286,99.240279
1.0,239,100.105282
0.0,131,100.588658
3.0,247,101.468484
2.0,210,102.21796
0.0,125,102.668144
1.0,171,103.368523
0.0,133,104.04434
3.0,267,105.404341
2.0,202,106.412649
3.0,292,107.473351
0.0,154,108.060953
0.0,130,108.538518
4.0,309,109.657694
1.0,166,110.250724
2.0,219,111.064401
1.0,181,111.704476
4.0,336,112.946341
0.0,141,113.475562
0.0,129,113.934357
1.0,164,114.519602
0.0,134,114.994785
2.0,215,115.783641
0.0,137,116.460205
3.0,282,117.872059
1.0,161,118.731735
0.0,136,119.375896
3.0,253,120.401057
3.0,261,121.354828
1.0,185,122.070234
4.0,297,123.169885
0.0,135,123.699416
0.0,148,124.254456
0.0,125,124.72643
3.0,272,125.801078
2.0,234,126.718142
1.0,175,127.350055
1.0,194,128.093286
3.0,275,129.118142
4.0,317,130.766886
4.0,284,132.255209
1.0,185,132.946728
1.0,164,133.554143
4.0,304,134.680509
0.0,138,135.217894
0.0,158,135.806622
0.0,124,136.28617
1.0,179,136.98788
3.0,232,137.869114
5.0,299,139.004397
5.0,345,140.306727
2.0,197,141.055476
2.0,213,141.842845
2.0,237,143.118975
2.0,212,144.238678
1.0,178,145.138509
2.0,183,145.86829
2.0,193,146.639169
0.0,151,147.232443
2.0,187,148.000767
0.0,131,148.50183
0.0,126,148.994557
0.0,128,149.479592
1.0,175,150.17376
1.0,203,150.944903
1.0,180,151.641581
1.0,170,152.323548
0.0,153,152.936214
4.0,283,154.041865
6.0,393,155.852616
2.0,221,157.036922
2.0,214,158.182145
0.0,132,158.718248
0.0,152,159.332271
3.0,272,160.421656
0.0,173,161.09677
1.0,184,161.833581
6.0,380,163.333946
1.0,171,163.991805
3.0,308,165.205002
5.0,299,166.382342
2.0,228,167.28908
3.0,280,168.597087
0.0,131,169.28264
0.0,164,170.193316
4.0,359,171.923723
2.0,224,172.828259
0.0,167,173.529013
3.0,261,174.601861
1.0,184,175.353979
0.0,148,175.967248
0.0,147,396.156849
2.0,218,397.030937
2.0,223,397.937175
1.0,205,398.773911
0.0,148,399.382367
2.0,189,400.171402
2.0,209,401.020128
2.0,220,401.913328
0.0,138,402.479582
2.0,249,403.846149
1.0,188,404.942189
0.0,139,405.750136
0.0,190,406.576443
4.0,277,407.715885
0.0,135,408.2785
0.0,203,409.155957
1.0,194,409.962639
2.0,244,410.98412
1.0,167,411.686836
1.0,181,412.437577
2.0,187,413.241542
0.0,140,413.827047
0.0,155,414.472349
0.0,209,415.347627
1.0,175,416.334026
