#{"t_start": 1774679994.174659, "env_id": "None"}
r,l,t
1.0,16,1.568982
0.0,6,1.569679
0.0,6,1.570312
0.0,6,1.571
0.0,6,1.574022
0.0,6,1.574697
0.0,6,1.575215
0.0,6,1.575825
0.0,6,1.578659
0.0,6,1.579345
0.0,6,1.579976
1.0,16,1.58152
1.0,16,1.584913
0.0,6,1.58552
1.0,16,1.586943
0.0,6,1.587462
0.0,6,1.590124
0.0,6,1.590728
0.0,6,1.591365
0.0,6,1.591896
1.0,16,1.595293
0.0,6,1.595897
0.0,6,1.596413
0.0,6,1.596992
1.0,16,1.600475
2.0,28,1.602838
0.0,6,1.603339
0.0,6,1.603937
1.0,16,1.607328
0.0,6,1.607879
0.0,6,1.608457
0.0,6,1.608962
1.0,16,1.612737
0.0,6,1.613368
0.0,6,1.613899
1.0,16,1.615258
1.0,16,1.61869
0.0,6,1.619275
0.0,6,1.619793
1.0,16,1.621198
0.0,6,1.623845
0.0,6,1.624393
2.0,26,1.626555
1.0,16,1.62789
0.0,6,1.630583
0.0,6,1.63124
0.0,6,1.631775
0.0,6,1.63234
0.0,6,1.634965
0.0,6,1.635624
1.0,16,1.637085
0.0,6,1.637713
1.0,16,1.641564
2.0,28,1.643836
1.0,16,1.645164
1.0,16,1.646539
0.0,6,1.649162
0.0,6,1.649725
0.0,6,1.650342
1.0,16,1.651774
1.0,16,1.655243
1.0,16,1.656607
2.0,26,1.659069
0.0,6,1.659675
0.0,6,1.662478
0.0,6,1.663098
1.0,16,1.664491
2.0,28,1.666846
0.0,6,1.670047
1.0,16,1.673221
1.0,16,1.674722
0.0,6,1.675347
0.0,6,1.678293
0.0,6,1.678928
0.0,6,1.679447
3.0,38,1.682667
0.0,6,1.685256
1.0,16,1.686641
0.0,6,1.687213
0.0,6,1.687734
0.0,6,1.690582
0.0,6,1.691155
1.0,16,1.692505
2.0,28,1.694809
0.0,6,1.697491
0.0,6,1.698063
0.0,6,1.698647
0.0,6,1.699157
1.0,16,1.702967
1.0,16,1.704352
0.0,6,1.704964
0.0,6,1.705476
0.0,6,1.708121
0.0,6,1.708678
0.0,6,1.709259
0.0,6,1.709792
0.0,6,1.733404
1.0,16,1.734848
1.0,16,1.736201
0.0,6,1.736861
0.0,6,1.739793
0.0,6,1.740361
0.0,6,1.741002
0.0,6,1.741547
1.0,16,1.74502
1.0,16,1.746349
0.0,6,1.746956
1.0,16,1.74827
0.0,6,1.751109
0.0,6,1.751799
0.0,6,1.752321
0.0,6,1.752977
0.0,6,1.755643
0.0,6,1.75628
2.0,28,1.758832
0.0,6,1.75935
1.0,16,1.763079
0.0,6,1.763693
0.0,6,1.764206
1.0,16,1.765524
1.0,16,1.768939
0.0,6,1.769544
1.0,16,1.771002
0.0,6,1.771585
1.0,16,1.774992
1.0,16,1.77638
0.0,6,1.777023
0.0,6,1.777597
0.0,6,1.780815
1.0,16,1.782285
0.0,6,1.782883
1.0,16,1.784326
0.0,6,1.788649
1.0,16,1.790161
0.0,6,1.790781
1.0,16,1.792176
0.0,6,1.794834
0.0,6,1.795374
0.0,6,1.795973
1.0,16,1.797281
1.0,16,1.80084
1.0,16,1.80219
0.0,6,1.802729
1.0,16,1.804033
0.0,6,1.806727
0.0,6,1.807344
0.0,6,1.808074
0.0,6,1.808654
0.0,6,1.811492
0.0,6,1.812084
0.0,6,1.812747
0.0,6,1.813256
0.0,6,1.815993
1.0,16,1.817389
0.0,6,1.817954
0.0,6,1.818555
0.0,6,1.821196
0.0,6,1.821842
0.0,6,1.822345
1.0,16,1.823692
0.0,6,1.82632
0.0,6,1.826885
0.0,6,1.827466
0.0,6,1.827975
0.0,6,1.830699
0.0,6,1.831319
1.0,16,1.832712
0.0,6,1.833274
1.0,16,1.836781
0.0,6,1.837329
0.0,6,1.837937
0.0,6,1.838453
0.0,6,1.841171
