#{"t_start": 1774703664.5630655, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,154,3.852361
0.0,131,4.537272
0.0,144,5.288424
0.0,132,5.977861
0.0,134,6.747648
1.0,183,7.414375
0.0,124,7.859498
3.0,255,8.726869
3.0,261,9.627573
0.0,130,10.068958
2.0,212,10.802947
3.0,268,12.513198
1.0,159,13.051912
0.0,138,13.541879
1.0,185,14.164081
5.0,334,15.309941
2.0,192,15.980248
2.0,201,16.684643
0.0,142,17.3833
5.0,373,19.282567
1.0,165,20.023194
4.0,287,21.493224
1.0,167,22.08334
0.0,132,22.538255
0.0,131,23.012276
1.0,174,23.617072
1.0,172,24.233799
0.0,130,24.691188
1.0,178,25.325762
2.0,224,26.111199
5.0,341,27.327215
0.0,138,27.81843
2.0,210,29.026748
0.0,141,29.524524
1.0,169,30.349962
0.0,132,31.025539
6.0,416,33.036079
0.0,160,33.613392
1.0,188,34.25582
1.0,164,34.828441
3.0,221,35.588892
1.0,183,36.221392
2.0,227,37.510007
5.0,335,38.643886
3.0,258,39.531004
0.0,139,40.035908
1.0,186,40.659359
2.0,196,41.336902
3.0,267,42.252533
4.0,298,43.619578
0.0,153,44.375453
0.0,133,45.601556
4.0,306,46.638936
3.0,286,47.633641
0.0,134,48.091959
1.0,181,48.731747
0.0,141,49.22915
1.0,177,49.843102
2.0,232,50.672833
0.0,131,51.128295
1.0,214,51.857903
2.0,219,52.592627
2.0,206,53.765935
1.0,155,54.298166
1.0,179,54.910841
1.0,177,55.558051
3.0,265,56.889128
2.0,213,57.988427
1.0,160,58.673127
0.0,131,59.108902
1.0,171,59.682195
2.0,227,60.461179
1.0,153,60.992259
1.0,186,62.100124
0.0,130,62.555644
1.0,163,63.115133
0.0,153,63.614936
0.0,136,64.088455
0.0,133,64.538226
1.0,180,65.161103
0.0,139,65.631782
2.0,190,66.278516
0.0,135,66.737272
1.0,158,67.293516
6.0,425,69.518201
2.0,213,70.622847
2.0,204,71.460299
9.0,424,72.875058
0.0,138,73.35759
0.0,136,73.818098
4.0,303,74.84223
0.0,130,75.293417
3.0,256,76.175645
3.0,231,77.465505
0.0,135,77.932656
0.0,136,78.390928
0.0,132,78.855942
1.0,164,79.406791
0.0,143,79.904436
0.0,137,80.369557
1.0,171,80.969881
2.0,209,82.015467
5.0,361,83.838411
4.0,288,84.823486
0.0,133,85.760684
1.0,162,86.321658
3.0,271,87.294427
2.0,235,88.10299
0.0,139,88.570222
0.0,140,89.05863
1.0,190,89.694828
2.0,213,90.409456
2.0,228,91.190997
2.0,211,91.905106
4.0,344,93.552428
3.0,236,94.597855
9.0,407,96.67922
3.0,228,97.459686
9.0,423,98.835176
1.0,183,99.419552
3.0,265,100.282466
0.0,132,100.72544
0.0,145,101.679586
5.0,330,102.779321
0.0,148,103.308094
9.0,415,104.637249
0.0,135,105.101456
0.0,129,105.51692
0.0,150,106.0234
