#{"t_start": 1774687142.1115823, "env_id": "None"}
r,l,t
0.0,6,2.017618
0.0,6,2.027787
0.0,6,2.037867
1.0,16,2.064122
1.0,16,2.092693
0.0,6,2.104236
0.0,6,2.119951
1.0,16,2.164572
0.0,6,2.175536
0.0,6,2.189376
0.0,6,2.199779
1.0,16,2.227799
0.0,6,2.237865
0.0,6,2.247893
0.0,6,2.258025
0.0,6,2.268072
0.0,6,2.278222
0.0,6,2.288172
0.0,6,2.300233
1.0,16,2.332209
0.0,6,2.347718
2.0,28,2.399723
1.0,16,2.429176
2.0,28,2.477131
0.0,6,2.487629
1.0,16,2.51615
1.0,16,2.542404
0.0,6,2.552154
1.0,16,2.578357
0.0,6,2.588231
0.0,6,2.600149
0.0,6,2.61
0.0,6,2.621625
1.0,16,2.654451
1.0,16,2.681469
0.0,6,2.691729
1.0,16,2.72138
0.0,6,2.731483
0.0,6,2.741834
0.0,6,2.751829
0.0,6,2.76191
0.0,6,2.772441
1.0,16,2.801731
0.0,6,2.811735
0.0,6,2.822304
0.0,6,2.832785
0.0,6,2.843037
0.0,6,2.853045
0.0,6,2.86304
0.0,6,2.872882
0.0,6,2.883084
1.0,16,2.911958
1.0,16,2.948882
0.0,6,2.960164
0.0,6,2.970308
0.0,6,2.980625
0.0,6,2.990813
0.0,6,3.001904
0.0,6,3.014206
1.0,16,3.041553
0.0,6,3.051518
1.0,16,3.078884
0.0,6,3.089523
0.0,6,3.09999
1.0,16,3.130385
1.0,16,3.161668
1.0,16,3.199912
1.0,16,3.235964
1.0,16,3.266066
1.0,16,3.292356
0.0,6,3.302156
1.0,16,3.330694
0.0,6,3.340544
1.0,16,3.367758
0.0,6,3.377909
1.0,16,3.405389
0.0,6,3.418084
0.0,6,3.428278
1.0,16,3.455096
0.0,6,3.465101
1.0,16,3.492358
0.0,6,3.50306
0.0,6,3.512928
0.0,6,3.527211
0.0,6,3.540151
1.0,16,3.570033
0.0,6,3.58056
0.0,6,3.59073
1.0,16,3.620099
0.0,6,3.630775
0.0,6,3.64135
0.0,6,3.651566
0.0,6,3.661898
0.0,6,3.672008
1.0,16,3.699378
0.0,6,3.709406
0.0,6,3.721632
0.0,6,3.731588
1.0,16,3.75851
0.0,6,3.768326
0.0,6,3.778337
1.0,16,3.805224
1.0,16,3.843252
0.0,6,3.855311
0.0,6,3.865916
1.0,16,3.893351
0.0,6,3.903908
0.0,6,3.914087
0.0,6,3.924685
3.0,38,3.996207
0.0,6,4.007218
0.0,6,4.018337
2.0,26,4.065221
0.0,6,4.076139
0.0,6,4.086601
0.0,6,4.097088
1.0,16,4.127202
0.0,6,4.145751
1.0,16,4.177031
1.0,16,4.218462
0.0,6,4.228948
0.0,6,4.241198
0.0,6,4.251285
0.0,6,4.261323
0.0,6,4.271477
0.0,6,4.281543
1.0,16,4.307772
1.0,16,4.34143
0.0,6,4.356463
0.0,6,4.367132
0.0,6,4.377117
0.0,6,4.3871
1.0,16,4.4157
0.0,6,4.426023
0.0,6,4.435982
1.0,16,4.464507
1.0,16,4.492653
0.0,6,4.503047
1.0,16,4.530087
2.0,28,4.57809
0.0,6,4.587946
0.0,6,4.598039
0.0,6,4.60802
0.0,6,4.617898
0.0,6,4.631042
0.0,6,4.643313
0.0,6,4.658324
1.0,16,4.68451
0.0,6,4.694579
0.0,6,4.704473
2.0,28,4.752199
0.0,6,4.76217
0.0,6,4.771944
0.0,6,4.781857
0.0,6,4.791809
0.0,6,4.801766
0.0,6,4.811539
1.0,16,4.842748
1.0,16,4.876419
0.0,6,4.886606
1.0,16,4.913661
0.0,6,4.923908
0.0,6,4.934201
0.0,6,4.944908
0.0,6,4.957089
0.0,6,4.967159
0.0,6,4.97751
2.0,26,5.028513
0.0,6,5.039527
0.0,6,5.049685
0.0,6,5.062116
0.0,6,5.072979
